POA_CODE_2016,Total_Persons_Persons,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size
POA2469,4012,53,867,768,2.2
POA2470,15225,43,1300,960,2.4
POA2471,2524,43,1300,1033,2.6
POA2472,1857,46,1300,1025,2.4
POA2473,3088,53,1517,889,2.1
POA2474,6332,50,1242,839,2.2
POA2475,383,50,988,695,2.1
POA2476,778,50,999,802,2.2
POA2477,12203,47,1625,1166,2.4
POA2478,28310,48,1733,1140,2.3
POA2479,4730,45,1842,1373,2.6
POA2480,44599,43,1430,1069,2.4
POA2481,11769,43,2000,1319,2.4
POA2482,6280,46,1532,969,2.4
POA2483,10609,45,1724,1040,2.3
POA2484,18872,46,1600,1037,2.5
POA2485,14373,53,1517,894,2
POA2486,31594,48,1733,1069,2.4
POA2487,13436,45,2100,1224,2.4
POA2488,3261,42,1700,1269,2.5
POA2489,7353,42,1950,1180,2.6
POA2490,666,44,1733,1385,2.5
POA2500,40510,33,1900,1239,2.3
POA2502,12438,40,1602,918,2.6
POA2505,5014,43,1733,1016,2.4
POA2506,7605,39,1603,1059,2.6
POA2508,8975,38,2300,2162,3
POA2515,11112,42,2362,2006,2.7
POA2516,6105,38,2288,1896,2.8
POA2517,13731,41,2167,1502,2.6
POA2518,19067,41,1987,1153,2.4
POA2519,16929,40,2007,1348,2.5
POA2522,300,19,0,0,0
POA2525,11564,40,2058,1581,2.8
POA2526,15630,40,1885,1522,2.8
POA2527,21383,37,1842,1500,2.9
POA2528,23774,44,1690,972,2.4
POA2529,26025,39,2000,1582,2.8
POA2530,32019,39,1750,1360,2.7
POA2533,15627,47,2000,1510,2.5
POA2534,5709,46,2158,1514,2.6
POA2535,7338,56,1800,1114,2.2
POA2536,17716,52,1456,963,2.2
POA2537,11812,54,1408,948,2.2
POA2538,2397,54,1647,1156,2.4
POA2539,17979,53,1430,900,2.2
POA2540,45121,48,1517,1024,2.4
POA2541,25641,42,1500,971,2.3
POA2545,1044,52,1300,975,2.3
POA2546,9121,58,1300,848,2.1
POA2548,7734,55,1477,1009,2.1
POA2549,3785,49,1517,1082,2.3
POA2550,15858,48,1300,1018,2.3
POA2551,3501,52,1335,839,2.2
POA2555,225,37,1654,1278,3
POA2556,2507,39,2167,1700,3.4
POA2557,8952,31,2600,2121,3.3
POA2558,11114,34,1800,1693,3.1
POA2559,3069,24,1983,785,3.3
POA2560,76521,34,1803,1429,2.9
POA2563,307,36,1500,1468,2.9
POA2564,13924,35,1733,1216,2.9
POA2565,19987,34,2000,1518,2.9
POA2566,26327,34,1926,1571,3.1
POA2567,38500,33,2167,2091,3.2
POA2568,1150,50,2375,1521,2.8
POA2569,1362,42,1976,1943,3
POA2570,40104,35,2253,2009,3
POA2571,11850,36,2167,2059,3
POA2572,4477,41,2058,1591,2.9
POA2573,5067,37,1842,1403,2.8
POA2574,5741,39,2068,1578,2.9
POA2575,15476,42,1820,1381,2.6
POA2576,13431,53,2000,1371,2.3
POA2577,15414,45,1790,1312,2.4
POA2578,2689,56,1592,1100,2.2
POA2579,4029,47,1733,1200,2.5
POA2580,29224,42,1517,1205,2.4
POA2581,2095,43,1733,1603,2.6
POA2582,12442,42,1980,1778,2.6
POA2583,4382,51,1300,1011,2.3
POA2584,543,44,1257,1104,2.3
POA2585,224,45,986,814,2.2
POA2586,2619,48,1192,995,2.2
POA2587,2917,49,975,954,2.3
POA2588,260,52,867,1224,2.5
POA2590,7093,49,1127,910,2.2
POA2594,11672,41,1300,983,2.4
POA2619,9508,36,2383,2820,3.1
POA2620,39289,37,2000,1731,2.5
POA2621,6056,39,2383,2457,2.9
POA2622,3922,49,1690,1100,2.3
POA2623,610,38,1417,1388,2.2
POA2625,389,38,275,1420,1.7
POA2626,500,43,1733,1720,2.7
POA2627,4622,37,1667,1524,2.5
POA2628,1912,45,1200,1162,2.3
POA2629,529,57,1042,852,1.9
POA2630,8691,45,1263,1078,2.2
POA2631,570,50,895,931,2.2
POA2632,1834,47,1040,1092,2.3
POA2633,379,56,732,808,2
POA2640,36343,39,1517,1313,2.4
POA2641,15070,40,1300,950,2.2
POA2642,4793,42,1300,1358,2.7
POA2643,2777,47,1300,1024,2.3
POA2644,2403,48,1092,1093,2.3
POA2645,402,51,563,854,2.2
POA2646,6758,48,1200,1027,2.2
POA2647,2161,52,1343,1028,2.2
POA2648,2369,52,910,880,2.1
POA2649,26,48,1603,1312,1.3
POA2650,56974,36,1521,1349,2.5
POA2651,2274,28,1330,1420,2.7
POA2652,4583,42,1200,1303,2.5
POA2653,2537,46,1192,1161,2.3
POA2655,1336,45,1189,1222,2.6
POA2656,1272,48,867,1018,2.3
POA2658,1433,46,914,841,2.4
POA2659,893,42,1000,1122,2.4
POA2660,1610,42,979,1080,2.5
POA2661,633,22,0,2173,3.2
POA2663,5186,38,1200,1101,2.5
POA2665,2226,46,650,1027,2.5
POA2666,5673,46,1200,1045,2.4
POA2668,459,42,650,808,2.5
POA2669,1654,45,600,1009,2.4
POA2671,4112,42,1062,1151,2.3
POA2672,1576,37,897,1026,2.5
POA2675,1562,39,910,1239,2.4
POA2678,340,20,0,0,0
POA2680,23940,37,1500,1334,2.7
POA2681,1732,41,1300,1309,2.7
POA2700,4922,44,1083,994,2.3
POA2701,2388,42,1300,1311,2.7
POA2702,779,47,750,935,2.5
POA2703,984,18,1168,1018,2.3
POA2705,10153,41,1300,1202,2.5
POA2706,1162,41,1083,1131,2.5
POA2707,1348,39,888,1315,2.5
POA2710,10123,46,1083,1050,2.3
POA2711,3360,45,952,1110,2.3
POA2712,1356,51,943,908,2.2
POA2713,2797,47,867,993,2.3
POA2714,2769,55,1200,895,2.2
POA2715,1477,44,858,1054,2.4
POA2716,1102,47,789,1129,2.3
POA2717,1330,44,867,864,2.6
POA2720,8012,44,1486,1146,2.4
POA2721,240,48,249,936,2.6
POA2722,3207,44,1127,1061,2.4
POA2725,374,50,780,772,2.2
POA2726,222,48,1083,1268,2.1
POA2727,350,38,867,1267,2.6
POA2729,1696,44,1153,1202,2.5
POA2730,1391,50,1006,921,2.2
POA2731,6410,46,1532,1148,2.4
POA2732,1776,55,1083,908,2.1
POA2733,545,50,715,979,2.1
POA2734,456,48,1246,1485,2.8
POA2735,448,45,737,833,2.6
POA2736,377,48,867,1093,2.3
POA2737,839,35,1100,1342,2.9
POA2738,1667,39,1517,1535,2.7
POA2739,1401,40,1291,1143,2.4
POA2745,29504,33,2167,2174,3.2
POA2747,42421,33,1989,1603,2.8
POA2748,1877,43,2500,2072,3.4
POA2749,16930,32,2000,1875,3
POA2750,44806,37,1993,1446,2.6
POA2752,4918,36,2010,1952,3.1
POA2753,17134,39,2000,1511,2.7
POA2754,5693,40,2147,1475,2.7
POA2755,261,24,0,0,0
POA2756,33932,35,2058,1741,2.9
POA2757,852,43,2167,1723,2.9
POA2758,8715,43,2200,2032,3
POA2759,26332,34,1993,1916,3.2
POA2760,33834,33,1950,1365,2.8
POA2761,30952,32,2000,1883,3.5
POA2762,4983,32,2400,2051,3.1
POA2763,30880,33,2167,2042,3.2
POA2765,16106,37,2279,1665,3
POA2766,15534,35,2000,1756,3.3
POA2767,22530,34,2167,1743,3.3
POA2768,28762,34,2492,2400,3.5
POA2769,11731,32,2900,2649,3.5
POA2770,61296,31,1700,1159,3.1
POA2773,6010,43,2000,2098,2.8
POA2774,12932,40,2058,1911,2.8
POA2775,1498,51,1517,1029,2.1
POA2776,4025,40,1950,1781,2.7
POA2777,17601,43,1959,1718,2.7
POA2778,2432,45,1733,1655,2.6
POA2779,4974,40,1733,1496,2.6
POA2780,13224,48,1560,1046,2.1
POA2782,6076,50,1733,1239,2.3
POA2783,2614,45,1733,1314,2.4
POA2784,1230,43,1760,1389,2.4
POA2785,4543,51,1625,1079,2.1
POA2786,1288,47,1500,1045,2.2
POA2787,4448,45,1430,1224,2.4
POA2790,15767,45,1400,975,2.3
POA2791,343,55,1300,1045,2.3
POA2792,384,48,1267,1023,2.2
POA2793,976,53,878,896,2.2
POA2794,10428,46,1192,968,2.3
POA2795,42550,37,1668,1310,2.5
POA2797,426,45,1300,1166,2.5
POA2798,2101,40,1950,1687,2.7
POA2799,4121,41,1430,1148,2.5
POA2800,44993,37,1668,1339,2.5
POA2803,281,54,948,966,2.1
POA2804,2668,46,1083,924,2.3
POA2805,399,47,975,900,2.5
POA2806,779,51,1083,1095,2.3
POA2807,427,53,758,781,2.2
POA2808,182,57,910,831,1.9
POA2809,240,51,600,956,2.2
POA2810,3150,50,968,905,2.2
POA2817,287,48,417,1011,2.3
POA2818,871,41,1300,1302,2.6
POA2820,7316,42,1083,893,2.4
POA2821,4810,41,1146,1092,2.5
POA2822,410,50,1292,912,2.2
POA2823,1425,44,758,1037,2.3
POA2824,2183,43,953,1060,2.3
POA2825,2383,40,1083,1120,2.4
POA2826,201,46,650,1416,2.5
POA2827,3691,45,1083,970,2.3
POA2828,831,44,582,924,2.4
POA2829,3102,42,910,1019,2.4
POA2830,40291,37,1517,1344,2.5
POA2831,1919,41,1266,1285,2.6
POA2832,2568,35,909,959,2.6
POA2833,650,38,479,907,2.5
POA2834,2340,51,846,676,2
POA2835,4173,35,1304,1628,2.4
POA2836,891,34,433,937,2.8
POA2838,247,33,542,758,2.5
POA2839,1338,34,440,893,2.6
POA2840,2695,36,981,1245,2.5
POA2842,630,48,867,807,2.4
POA2843,1290,46,925,975,2.4
POA2844,1437,49,967,871,2.3
POA2845,1980,40,1517,1135,2.6
POA2846,275,51,1400,719,2.2
POA2847,2424,47,1200,1023,2.4
POA2848,1645,50,867,708,2.1
POA2849,1546,51,1517,857,2.2
POA2850,17644,41,1733,1229,2.5
POA2852,3543,42,1560,1092,2.4
POA2864,804,44,1400,1296,2.6
POA2865,865,44,1300,1254,2.5
POA2866,3093,40,1517,1195,2.6
POA2867,602,44,867,1043,2.5
POA2868,652,46,867,982,2.3
POA2869,1449,49,867,807,2.2
POA2870,12042,39,1300,1154,2.5
POA2871,9349,42,1153,1065,2.4
POA2873,561,49,650,770,2.1
POA2874,424,52,560,1009,2.2
POA2875,973,48,726,975,2.4
POA2876,421,44,889,991,2.5
POA2877,3883,38,939,1016,2.4
POA2878,372,41,21,1325,2.2
POA2879,638,46,650,803,2.2
POA2880,18276,44,953,971,2.2
POA2898,382,44,1867,1397,2.2
POA3000,37975,26,1700,955,2
POA3002,4964,38,2192,2285,1.9
POA3003,5515,30,2006,1766,2.2
POA3004,9307,35,2000,2006,1.8
POA3005,525,33,2184,2182,2.1
POA3006,18808,30,2000,1852,1.9
POA3008,10437,30,2167,1858,2
POA3010,1593,20,0,3249,3
POA3011,21462,33,1974,1441,2.3
POA3012,26298,33,1987,1483,2.5
POA3013,14965,36,2167,2047,2.5
POA3015,17472,37,2167,2071,2.6
POA3016,15560,42,2200,2008,2.6
POA3018,12689,42,2000,1440,2.3
POA3019,9195,32,1600,1051,2.9
POA3020,44783,35,1517,1128,2.8
POA3021,54191,35,1408,1050,2.9
POA3022,3103,35,1517,1156,2.6
POA3023,63972,33,1800,1586,3.2
POA3024,23849,31,1600,1505,3
POA3025,12152,38,2000,1240,2.6
POA3026,73,52,0,630,1.2
POA3027,6646,31,2167,2220,3.3
POA3028,29201,36,1517,1387,2.7
POA3029,93950,31,1733,1578,3.2
POA3030,100313,33,1800,1676,3
POA3031,18531,33,2000,1626,2.2
POA3032,29450,33,2000,1720,2.5
POA3033,14514,43,2000,1484,2.7
POA3034,11633,44,1950,1318,2.7
POA3036,5925,44,2000,1743,2.8
POA3037,51155,33,1733,1684,3.2
POA3038,27262,41,1647,1654,3
POA3039,14250,37,2167,1861,2.4
POA3040,25936,37,2167,1825,2.5
POA3041,12412,39,2000,1905,2.7
POA3042,15766,40,1950,1461,2.5
POA3043,17716,40,1708,1291,2.5
POA3044,27116,37,2000,1607,2.6
POA3045,104,33,0,0,0
POA3046,34063,35,1733,1296,2.6
POA3047,20903,31,1321,922,3
POA3048,18029,32,1300,1017,3.3
POA3049,9262,39,1729,1513,2.8
POA3050,117,36,0,0,0
POA3051,14940,28,2100,1236,2.1
POA3052,5694,29,2000,1605,2.2
POA3053,18535,24,1894,572,1.9
POA3054,8428,33,2167,1991,2.3
POA3055,14159,34,2000,1423,2.2
POA3056,24473,33,2058,1724,2.2
POA3057,11504,32,2000,1726,2.2
POA3058,33778,36,2000,1608,2.6
POA3059,15466,34,2000,2030,3.4
POA3060,14043,34,1733,1086,2.9
POA3061,5056,36,1500,921,3.1
POA3062,0,0,0,0,0
POA3063,573,42,2100,2071,3.2
POA3064,75457,30,1733,1480,3.4
POA3065,10445,33,2286,1715,2.1
POA3066,8513,32,2180,1712,2
POA3067,8197,32,2142,2001,2.1
POA3068,18662,36,2167,2039,2.3
POA3070,24561,36,2167,1868,2.4
POA3071,18568,36,2000,1535,2.3
POA3072,32851,36,1950,1427,2.5
POA3073,50474,37,1733,1197,2.5
POA3074,20523,38,1517,1018,2.8
POA3075,22594,37,1670,1112,2.9
POA3076,32395,33,1700,1409,3
POA3078,11638,36,2050,1856,2.4
POA3079,15988,40,2176,2029,2.6
POA3081,13424,35,1750,1177,2.4
POA3082,29710,37,1600,1500,3
POA3083,31526,34,1733,1305,2.8
POA3084,25517,41,2058,1813,2.6
POA3085,13886,38,1980,1697,2.6
POA3086,910,20,0,262,2
POA3087,9031,39,1800,1543,2.6
POA3088,26892,40,1941,1739,2.7
POA3089,11733,38,2000,2089,3
POA3090,2364,39,2167,2588,3.3
POA3091,1588,43,2200,2147,3.2
POA3093,3891,43,2054,1822,2.6
POA3094,8960,40,1883,1742,2.6
POA3095,27771,41,2000,2150,2.9
POA3096,1961,42,1738,1927,3.1
POA3097,1443,43,2167,2255,3
POA3099,4878,42,1900,1831,2.9
POA3101,24605,39,2513,2206,2.6
